code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367668,14.0,True,True,132,2023-12-03T14:00:00Z,90,False,True,2,2.0,3,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 34}, {'value': 1, 'element': 60}], 'h': [{'value': 1, 'element': 82}, {'value': 1, 'element': 85}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 60}, {'value': 1, 'element': 599}], 'h': [{'value': 1, 'element': 65}, {'value': 1, 'element': 595}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 44}, {'value': 1, 'element': 584}, {'value': 1, 'element': 672}], 'h': [{'value': 1, 'element': 65}, {'value': 1, 'element': 72}, {'value': 1, 'element': 82}, {'value': 1, 'element': 83}, {'value': 1, 'element': 595}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 49}], 'h': [{'value': 1, 'element': 77}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 60}], 'h': [{'value': 3, 'element': 65}, {'value': 1, 'element': 595}]}, {'identifier': 'bps', 'a': [{'value': 38, 'element': 60}, {'value': 25, 'element': 34}, {'value': 25, 'element': 49}, {'value': 18, 'element': 43}, {'value': 17, 'element': 58}, {'value': 13, 'element': 41}, {'value': 13, 'element': 48}, {'value': 11, 'element': 584}, {'value': 10, 'element': 599}, {'value': 8, 'element': 36}, {'value': 7, 'element': 50}, {'value': 6, 'element': 42}, {'value': 2, 'element': 32}, {'value': -1, 'element': 55}, {'value': -7, 'element': 672}], 'h': [{'value': 42, 'element': 65}, {'value': 26, 'element': 595}, {'value': 19, 'element': 82}, {'value': 19, 'element': 85}, {'value': 16, 'element': 66}, {'value': 13, 'element': 89}, {'value': 11, 'element': 86}, {'value': 10, 'element': 77}, {'value': 10, 'element': 84}, {'value': 9, 'element': 83}, {'value': 4, 'element': 63}, {'value': 4, 'element': 705}, {'value': 3, 'element': 75}, {'value': 3, 'element': 78}, {'value': -2, 'element': 72}]}]",3,2,93452
2367672,14.0,True,True,135,2023-12-03T14:00:00Z,90,False,True,5,2.0,7,3.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 125}, {'value': 1, 'element': 135}], 'h': [{'value': 2, 'element': 199}, {'value': 1, 'element': 197}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 138}, {'value': 1, 'element': 142}], 'h': [{'value': 1, 'element': 191}, {'value': 1, 'element': 210}, {'value': 1, 'element': 211}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 134}, {'value': 1, 'element': 135}, {'value': 1, 'element': 142}, {'value': 1, 'element': 606}, {'value': 1, 'element': 621}], 'h': [{'value': 1, 'element': 145}, {'value': 1, 'element': 191}, {'value': 1, 'element': 199}]}, {'identifier': 'red_cards', 'a': [], 'h': [{'value': 1, 'element': 202}]}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 148}], 'h': [{'value': 7, 'element': 145}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 125}], 'h': [{'value': 3, 'element': 199}, {'value': 2, 'element': 191}, {'value': 1, 'element': 217}]}, {'identifier': 'bps', 'a': [{'value': 23, 'element': 125}, {'value': 21, 'element': 135}, {'value': 18, 'element': 151}, {'value': 17, 'element': 150}, {'value': 16, 'element': 142}, {'value': 12, 'element': 133}, {'value': 12, 'element': 138}, {'value': 11, 'element': 148}, {'value': 10, 'element': 122}, {'value': 10, 'element': 606}, {'value': 7, 'element': 134}, {'value': 7, 'element': 690}, {'value': 5, 'element': 132}, {'value': 4, 'element': 143}, {'value': 3, 'element': 742}, {'value': 2, 'element': 621}], 'h': [{'value': 44, 'element': 199}, {'value': 28, 'element': 191}, {'value': 23, 'element': 217}, {'value': 22, 'element': 197}, {'value': 21, 'element': 145}, {'value': 13, 'element': 611}, {'value': 11, 'element': 210}, {'value': 11, 'element': 211}, {'value': 5, 'element': 362}, {'value': 4, 'element': 126}, {'value': 4, 'element': 216}, {'value': 3, 'element': 193}, {'value': 2, 'element': 609}, {'value': -9, 'element': 202}]}]",2,3,93455
2367673,14.0,True,True,136,2023-12-03T14:00:00Z,90,False,True,10,3.0,11,4.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 270}, {'value': 1, 'element': 285}, {'value': 1, 'element': 288}], 'h': [{'value': 1, 'element': 290}, {'value': 1, 'element': 304}, {'value': 1, 'element': 668}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 268}, {'value': 1, 'element': 283}], 'h': [{'value': 1, 'element': 290}, {'value': 1, 'element': 308}, {'value': 1, 'element': 311}]}, {'identifier': 'own_goals', 'a': [{'value': 1, 'element': 275}], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 9, 'element': 275}], 'h': [{'value': 2, 'element': 301}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 283}], 'h': [{'value': 3, 'element': 290}, {'value': 2, 'element': 304}]}, {'identifier': 'bps', 'a': [{'value': 31, 'element': 283}, {'value': 24, 'element': 288}, {'value': 23, 'element': 275}, {'value': 21, 'element': 285}, {'value': 20, 'element': 270}, {'value': 16, 'element': 268}, {'value': 14, 'element': 282}, {'value': 11, 'element': 610}, {'value': 10, 'element': 267}, {'value': 10, 'element': 281}, {'value': 8, 'element': 280}, {'value': 8, 'element': 558}, {'value': 5, 'element': 256}, {'value': 3, 'element': 591}, {'value': 3, 'element': 688}, {'value': 2, 'element': 287}], 'h': [{'value': 41, 'element': 290}, {'value': 32, 'element': 304}, {'value': 28, 'element': 311}, {'value': 22, 'element': 668}, {'value': 18, 'element': 308}, {'value': 18, 'element': 313}, {'value': 17, 'element': 305}, {'value': 16, 'element': 301}, {'value': 10, 'element': 309}, {'value': 6, 'element': 302}, {'value': 6, 'element': 708}, {'value': 5, 'element': 303}, {'value': 3, 'element': 298}, {'value': 2, 'element': 297}, {'value': -2, 'element': 293}]}]",2,5,93456
2367677,14.0,True,True,140,2023-12-03T14:00:00Z,90,False,True,8,1.0,19,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 225}], 'h': [{'value': 1, 'element': 689}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 528}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 528}, {'value': 1, 'element': 664}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 230}], 'h': [{'value': 1, 'element': 524}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 225}], 'h': [{'value': 2, 'element': 689}, {'value': 1, 'element': 528}]}, {'identifier': 'bps', 'a': [{'value': 28, 'element': 225}, {'value': 17, 'element': 220}, {'value': 16, 'element': 228}, {'value': 13, 'element': 229}, {'value': 13, 'element': 230}, {'value': 13, 'element': 242}, {'value': 12, 'element': 234}, {'value': 12, 'element': 238}, {'value': 9, 'element': 231}, {'value': 7, 'element': 236}, {'value': 6, 'element': 232}, {'value': 3, 'element': 221}, {'value': 3, 'element': 239}], 'h': [{'value': 25, 'element': 689}, {'value': 24, 'element': 528}, {'value': 14, 'element': 522}, {'value': 14, 'element': 642}, {'value': 13, 'element': 664}, {'value': 10, 'element': 676}, {'value': 9, 'element': 524}, {'value': 8, 'element': 539}, {'value': 7, 'element': 532}, {'value': 7, 'element': 542}, {'value': 6, 'element': 534}, {'value': -6, 'element': 526}]}]",2,3,93460
2367674,14.0,True,True,137,2023-12-03T16:30:00Z,90,False,True,18,3.0,13,3.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 501}, {'value': 1, 'element': 503}, {'value': 1, 'element': 516}], 'h': [{'value': 1, 'element': 353}, {'value': 1, 'element': 354}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 450}, {'value': 1, 'element': 501}, {'value': 1, 'element': 516}], 'h': [{'value': 2, 'element': 355}, {'value': 1, 'element': 343}]}, {'identifier': 'own_goals', 'a': [{'value': 1, 'element': 516}], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 497}, {'value': 1, 'element': 501}, {'value': 1, 'element': 506}, {'value': 1, 'element': 519}], 'h': [{'value': 1, 'element': 354}, {'value': 1, 'element': 355}, {'value': 1, 'element': 365}, {'value': 1, 'element': 616}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 520}], 'h': [{'value': 1, 'element': 352}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 501}, {'value': 2, 'element': 516}], 'h': [{'value': 2, 'element': 353}]}, {'identifier': 'bps', 'a': [{'value': 33, 'element': 501}, {'value': 31, 'element': 516}, {'value': 28, 'element': 503}, {'value': 22, 'element': 450}, {'value': 18, 'element': 495}, {'value': 16, 'element': 497}, {'value': 13, 'element': 520}, {'value': 6, 'element': 499}, {'value': 6, 'element': 506}, {'value': 6, 'element': 519}, {'value': 5, 'element': 493}, {'value': 4, 'element': 494}, {'value': 4, 'element': 515}, {'value': 3, 'element': 509}, {'value': 3, 'element': 722}], 'h': [{'value': 31, 'element': 353}, {'value': 27, 'element': 343}, {'value': 18, 'element': 354}, {'value': 18, 'element': 355}, {'value': 16, 'element': 350}, {'value': 15, 'element': 369}, {'value': 13, 'element': 352}, {'value': 12, 'element': 341}, {'value': 11, 'element': 365}, {'value': 9, 'element': 344}, {'value': 7, 'element': 358}, {'value': 7, 'element': 616}, {'value': 3, 'element': 342}, {'value': 3, 'element': 356}, {'value': 3, 'element': 678}]}]",3,5,93457
2367686,15.0,True,True,149,2023-12-05T19:30:00Z,90,False,True,6,0.0,20,1.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 557}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 590}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 161}, {'value': 1, 'element': 167}, {'value': 1, 'element': 178}, {'value': 1, 'element': 475}], 'h': [{'value': 1, 'element': 563}, {'value': 1, 'element': 565}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 596}], 'h': [{'value': 3, 'element': 546}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 573}, {'value': 2, 'element': 551}, {'value': 2, 'element': 557}]}, {'identifier': 'bps', 'a': [{'value': 14, 'element': 596}, {'value': 12, 'element': 167}, {'value': 12, 'element': 173}, {'value': 11, 'element': 161}, {'value': 11, 'element': 178}, {'value': 6, 'element': 177}, {'value': 5, 'element': 170}, {'value': 5, 'element': 475}, {'value': 5, 'element': 608}, {'value': 4, 'element': 594}, {'value': 3, 'element': 600}, {'value': 3, 'element': 605}, {'value': 3, 'element': 660}, {'value': 2, 'element': 706}, {'value': -1, 'element': 182}], 'h': [{'value': 28, 'element': 573}, {'value': 27, 'element': 551}, {'value': 27, 'element': 557}, {'value': 24, 'element': 546}, {'value': 23, 'element': 572}, {'value': 20, 'element': 563}, {'value': 19, 'element': 548}, {'value': 19, 'element': 570}, {'value': 19, 'element': 590}, {'value': 9, 'element': 559}, {'value': 4, 'element': 565}, {'value': 3, 'element': 574}, {'value': 3, 'element': 598}, {'value': 3, 'element': 715}]}]",2,2,93469
2367683,15.0,True,True,146,2023-12-05T20:15:00Z,90,False,True,1,4.0,12,3.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 6}, {'value': 1, 'element': 8}, {'value': 1, 'element': 12}, {'value': 1, 'element': 540}], 'h': [{'value': 1, 'element': 314}, {'value': 1, 'element': 330}, {'value': 1, 'element': 630}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 8}, {'value': 1, 'element': 14}, {'value': 1, 'element': 19}, {'value': 1, 'element': 29}], 'h': [{'value': 2, 'element': 321}, {'value': 1, 'element': 727}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 8}], 'h': [{'value': 1, 'element': 630}, {'value': 1, 'element': 631}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 113}], 'h': [{'value': 5, 'element': 614}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 8}, {'value': 2, 'element': 540}], 'h': [{'value': 1, 'element': 321}]}, {'identifier': 'bps', 'a': [{'value': 48, 'element': 8}, {'value': 34, 'element': 540}, {'value': 29, 'element': 29}, {'value': 25, 'element': 6}, {'value': 24, 'element': 14}, {'value': 22, 'element': 12}, {'value': 22, 'element': 19}, {'value': 14, 'element': 20}, {'value': 12, 'element': 5}, {'value': 8, 'element': 10}, {'value': 4, 'element': 31}, {'value': 3, 'element': 113}, {'value': -1, 'element': 26}], 'h': [{'value': 30, 'element': 321}, {'value': 29, 'element': 330}, {'value': 28, 'element': 314}, {'value': 27, 'element': 630}, {'value': 19, 'element': 614}, {'value': 17, 'element': 727}, {'value': 16, 'element': 393}, {'value': 11, 'element': 316}, {'value': 9, 'element': 602}, {'value': 8, 'element': 582}, {'value': 5, 'element': 326}, {'value': 5, 'element': 328}, {'value': 3, 'element': 320}, {'value': 3, 'element': 553}, {'value': 3, 'element': 631}, {'value': 2, 'element': 586}]}]",5,2,93466
2367679,15.0,True,True,142,2023-12-06T19:30:00Z,90,False,True,4,1.0,5,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 108}], 'h': [{'value': 1, 'element': 134}, {'value': 1, 'element': 621}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 105}], 'h': [{'value': 1, 'element': 134}, {'value': 1, 'element': 143}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 119}], 'h': [{'value': 1, 'element': 125}, {'value': 1, 'element': 133}, {'value': 1, 'element': 150}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 101}], 'h': []}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 105}], 'h': [{'value': 3, 'element': 621}, {'value': 2, 'element': 134}]}, {'identifier': 'bps', 'a': [{'value': 27, 'element': 105}, {'value': 19, 'element': 108}, {'value': 19, 'element': 112}, {'value': 18, 'element': 101}, {'value': 13, 'element': 701}, {'value': 12, 'element': 114}, {'value': 11, 'element': 109}, {'value': 10, 'element': 92}, {'value': 9, 'element': 258}, {'value': 8, 'element': 111}, {'value': 7, 'element': 120}, {'value': 5, 'element': 98}, {'value': 3, 'element': 107}, {'value': 2, 'element': 744}, {'value': -2, 'element': 119}], 'h': [{'value': 33, 'element': 621}, {'value': 32, 'element': 134}, {'value': 22, 'element': 606}, {'value': 21, 'element': 143}, {'value': 20, 'element': 690}, {'value': 11, 'element': 133}, {'value': 9, 'element': 122}, {'value': 8, 'element': 148}, {'value': 5, 'element': 142}, {'value': 5, 'element': 150}, {'value': 5, 'element': 151}, {'value': 4, 'element': 144}, {'value': 3, 'element': 135}, {'value': 3, 'element': 742}, {'value': 2, 'element': 125}, {'value': 2, 'element': 132}]}]",2,3,93462
2367680,15.0,True,True,143,2023-12-06T19:30:00Z,90,False,True,3,2.0,8,0.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 76}, {'value': 1, 'element': 83}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 63}, {'value': 1, 'element': 705}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 78}, {'value': 1, 'element': 83}, {'value': 1, 'element': 89}], 'h': [{'value': 1, 'element': 225}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 77}], 'h': [{'value': 2, 'element': 230}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 83}, {'value': 2, 'element': 76}, {'value': 1, 'element': 77}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 30, 'element': 83}, {'value': 28, 'element': 76}, {'value': 27, 'element': 77}, {'value': 21, 'element': 84}, {'value': 19, 'element': 89}, {'value': 18, 'element': 595}, {'value': 18, 'element': 705}, {'value': 15, 'element': 63}, {'value': 14, 'element': 65}, {'value': 12, 'element': 66}, {'value': 11, 'element': 82}, {'value': 6, 'element': 85}, {'value': 3, 'element': 86}, {'value': -1, 'element': 72}, {'value': -1, 'element': 78}], 'h': [{'value': 23, 'element': 236}, {'value': 22, 'element': 238}, {'value': 15, 'element': 231}, {'value': 14, 'element': 222}, {'value': 12, 'element': 230}, {'value': 11, 'element': 228}, {'value': 10, 'element': 220}, {'value': 10, 'element': 234}, {'value': 9, 'element': 240}, {'value': 8, 'element': 242}, {'value': 5, 'element': 221}, {'value': 3, 'element': 219}, {'value': 3, 'element': 232}, {'value': 2, 'element': 229}]}]",2,2,93463
2367682,15.0,True,True,145,2023-12-06T19:30:00Z,90,False,True,16,0.0,10,5.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 2, 'element': 256}, {'value': 2, 'element': 558}, {'value': 1, 'element': 268}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 3, 'element': 267}, {'value': 1, 'element': 288}, {'value': 1, 'element': 591}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 470}], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 710}], 'h': [{'value': 1, 'element': 275}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 267}, {'value': 3, 'element': 558}, {'value': 1, 'element': 256}]}, {'identifier': 'bps', 'a': [{'value': 20, 'element': 465}, {'value': 16, 'element': 445}, {'value': 13, 'element': 604}, {'value': 11, 'element': 696}, {'value': 10, 'element': 453}, {'value': 9, 'element': 710}, {'value': 6, 'element': 378}, {'value': 4, 'element': 457}, {'value': 3, 'element': 442}, {'value': 2, 'element': 468}, {'value': 2, 'element': 470}, {'value': 2, 'element': 712}, {'value': 2, 'element': 713}, {'value': 1, 'element': 447}, {'value': -2, 'element': 205}, {'value': -2, 'element': 714}], 'h': [{'value': 51, 'element': 267}, {'value': 51, 'element': 558}, {'value': 50, 'element': 256}, {'value': 38, 'element': 268}, {'value': 29, 'element': 283}, {'value': 28, 'element': 275}, {'value': 27, 'element': 610}, {'value': 26, 'element': 688}, {'value': 25, 'element': 286}, {'value': 24, 'element': 591}, {'value': 21, 'element': 280}, {'value': 17, 'element': 288}, {'value': 6, 'element': 707}, {'value': 3, 'element': 287}, {'value': 2, 'element': 270}, {'value': 1, 'element': 276}]}]",2,3,93465
2367684,15.0,True,True,147,2023-12-06T19:30:00Z,90,False,True,11,2.0,17,0.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 309}, {'value': 1, 'element': 313}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 290}, {'value': 1, 'element': 293}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 293}, {'value': 1, 'element': 302}, {'value': 1, 'element': 668}], 'h': [{'value': 1, 'element': 476}, {'value': 1, 'element': 488}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 301}], 'h': [{'value': 6, 'element': 482}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 290}, {'value': 2, 'element': 313}, {'value': 1, 'element': 309}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 50, 'element': 290}, {'value': 44, 'element': 313}, {'value': 32, 'element': 309}, {'value': 25, 'element': 298}, {'value': 25, 'element': 301}, {'value': 20, 'element': 302}, {'value': 10, 'element': 297}, {'value': 8, 'element': 668}, {'value': 7, 'element': 293}, {'value': 6, 'element': 303}, {'value': 5, 'element': 295}, {'value': 3, 'element': 304}, {'value': 3, 'element': 708}, {'value': 2, 'element': 308}, {'value': -1, 'element': 300}], 'h': [{'value': 20, 'element': 482}, {'value': 11, 'element': 638}, {'value': 10, 'element': 655}, {'value': 9, 'element': 27}, {'value': 9, 'element': 576}, {'value': 9, 'element': 663}, {'value': 7, 'element': 471}, {'value': 6, 'element': 476}, {'value': 6, 'element': 481}, {'value': 5, 'element': 360}, {'value': 4, 'element': 490}, {'value': 3, 'element': 484}, {'value': 3, 'element': 593}, {'value': -1, 'element': 488}]}]",4,2,93467
2367678,15.0,True,True,141,2023-12-06T20:15:00Z,90,False,True,13,0.0,2,1.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 34}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 58}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 358}, {'value': 1, 'element': 368}], 'h': [{'value': 1, 'element': 47}, {'value': 1, 'element': 60}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 6, 'element': 352}], 'h': [{'value': 2, 'element': 49}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 49}, {'value': 2, 'element': 48}, {'value': 1, 'element': 34}]}, {'identifier': 'bps', 'a': [{'value': 23, 'element': 352}, {'value': 21, 'element': 350}, {'value': 21, 'element': 616}, {'value': 19, 'element': 344}, {'value': 13, 'element': 341}, {'value': 11, 'element': 358}, {'value': 11, 'element': 369}, {'value': 10, 'element': 368}, {'value': 7, 'element': 353}, {'value': 3, 'element': 356}, {'value': 2, 'element': 343}, {'value': 2, 'element': 345}, {'value': 2, 'element': 566}, {'value': -1, 'element': 355}], 'h': [{'value': 28, 'element': 49}, {'value': 27, 'element': 48}, {'value': 26, 'element': 34}, {'value': 24, 'element': 41}, {'value': 22, 'element': 42}, {'value': 21, 'element': 584}, {'value': 17, 'element': 58}, {'value': 14, 'element': 43}, {'value': 13, 'element': 47}, {'value': 10, 'element': 50}, {'value': 5, 'element': 599}, {'value': 4, 'element': 60}, {'value': 3, 'element': 32}, {'value': 3, 'element': 44}, {'value': 2, 'element': 55}]}]",5,4,93461
2367687,15.0,True,True,150,2023-12-06T20:15:00Z,90,False,True,7,1.0,14,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 362}], 'h': [{'value': 2, 'element': 392}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 210}], 'h': [{'value': 1, 'element': 382}, {'value': 1, 'element': 387}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [{'value': 1, 'element': 145}], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': [{'value': 1, 'element': 373}]}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 377}, {'value': 1, 'element': 382}, {'value': 1, 'element': 398}, {'value': 1, 'element': 508}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 7, 'element': 145}], 'h': [{'value': 2, 'element': 597}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 145}, {'value': 1, 'element': 362}], 'h': [{'value': 2, 'element': 392}]}, {'identifier': 'bps', 'a': [{'value': 40, 'element': 145}, {'value': 26, 'element': 362}, {'value': 14, 'element': 217}, {'value': 13, 'element': 206}, {'value': 12, 'element': 611}, {'value': 10, 'element': 197}, {'value': 10, 'element': 210}, {'value': 9, 'element': 126}, {'value': 7, 'element': 199}, {'value': 6, 'element': 216}, {'value': 5, 'element': 211}, {'value': 3, 'element': 198}, {'value': -1, 'element': 193}], 'h': [{'value': 32, 'element': 392}, {'value': 22, 'element': 387}, {'value': 21, 'element': 709}, {'value': 14, 'element': 377}, {'value': 14, 'element': 382}, {'value': 14, 'element': 398}, {'value': 12, 'element': 386}, {'value': 11, 'element': 597}, {'value': 10, 'element': 372}, {'value': 8, 'element': 373}, {'value': 7, 'element': 508}, {'value': 7, 'element': 617}, {'value': 3, 'element': 396}, {'value': 3, 'element': 703}]}]",3,4,93470
2367681,15.0,True,True,144,2023-12-07T19:30:00Z,90,False,True,15,0.0,9,3.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 249}, {'value': 1, 'element': 259}, {'value': 1, 'element': 691}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 259}, {'value': 1, 'element': 262}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 246}, {'value': 1, 'element': 254}, {'value': 1, 'element': 691}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 409}], 'h': [{'value': 3, 'element': 263}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 259}, {'value': 2, 'element': 588}, {'value': 1, 'element': 249}]}, {'identifier': 'bps', 'a': [{'value': 20, 'element': 409}, {'value': 18, 'element': 416}, {'value': 17, 'element': 635}, {'value': 15, 'element': 427}, {'value': 13, 'element': 419}, {'value': 12, 'element': 406}, {'value': 12, 'element': 430}, {'value': 12, 'element': 633}, {'value': 3, 'element': 417}, {'value': 3, 'element': 425}, {'value': 1, 'element': 402}, {'value': 1, 'element': 412}, {'value': 1, 'element': 415}], 'h': [{'value': 50, 'element': 259}, {'value': 32, 'element': 588}, {'value': 29, 'element': 249}, {'value': 28, 'element': 245}, {'value': 27, 'element': 263}, {'value': 25, 'element': 247}, {'value': 23, 'element': 691}, {'value': 20, 'element': 260}, {'value': 19, 'element': 265}, {'value': 16, 'element': 262}, {'value': 15, 'element': 661}, {'value': 11, 'element': 254}, {'value': -6, 'element': 246}]}]",3,2,93464
