assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,33,0,0,0,19,0,9,24,0.3,1,0,562,0,0,37,0,4,0,3.5,2177,34.6,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,90,0,0,17,0,0,0,0,6,0,4,0,1685,0,2,0,4,0,0.0,0,1333,1746,413,50,True,0,0
0,26,0,0,0,15,0,5,20,1.1,0,0,562,0,0,47,1,4,0,4.3,2758,23.4,0,2016-09-18T13:15:00Z,18 Sep 14:15,0,0,90,0,0,5,0,0,0,0,7,0,5,0,1757,2,4,0,1,4,18.0,0,-66,133,199,50,False,0,0
0,49,0,0,0,12,0,5,44,0.3,0,0,562,0,1,56,0,1,0,1.0,3342,9.6,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,0,0,19,0,0,0,0,5,0,6,0,1754,0,0,0,1,1,0.0,2,-118,134,252,50,True,0,0
0,17,0,0,0,14,0,15,13,0.1,0,0,562,0,0,65,1,1,0,4.4,3928,31.0,0,2016-10-02T11:00:00Z,02 Oct 12:00,0,0,90,1,0,11,0,0,0,0,3,0,7,0,1781,0,1,0,1,1,13.0,2,-60,123,183,49,False,0,0
0,33,0,0,2,30,1,3,32,0.2,0,0,562,0,0,79,0,0,0,1.2,4517,11.4,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,90,0,0,15,0,0,0,0,10,0,8,0,2326,0,1,0,0,2,0.0,8,374,508,134,49,True,0,0
0,42,0,0,0,25,1,7,36,0.2,0,0,562,0,0,85,1,0,0,1.6,5109,13.6,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,0,0,7,0,0,0,0,3,0,9,0,3853,0,0,0,2,0,2.0,6,1230,1401,171,49,False,0,0
0,36,0,0,0,11,0,4,32,0.4,0,0,562,0,0,96,1,1,0,1.4,5703,12.0,0,2016-10-31T20:00:00Z,31 Oct 20:00,0,0,90,0,0,16,0,0,0,0,2,0,10,0,4851,0,0,0,1,3,2.0,2,752,871,119,49,True,0,0
0,26,0,0,0,11,0,9,23,0.1,0,0,562,0,0,110,0,1,0,1.5,6301,13.2,0,2016-11-05T15:00:00Z,05 Nov 15:00,0,0,90,0,0,20,0,0,0,0,4,0,11,0,5455,0,0,0,1,1,2.0,2,368,697,329,49,False,0,0
0,29,0,0,0,17,0,6,23,0.5,0,0,562,0,0,116,1,1,0,5.4,6900,15.2,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,90,0,0,2,0,0,0,0,5,0,12,0,6883,0,4,0,1,0,38.0,2,1015,1334,319,49,True,0,0
0,31,0,0,3,32,1,15,29,0.5,0,0,562,0,0,130,0,0,0,4.5,7501,27.8,0,2016-11-27T12:00:00Z,27 Nov 12:00,0,0,90,0,0,18,0,0,0,0,5,0,13,0,6793,0,0,0,1,0,17.0,9,-172,203,375,49,False,0,0
0,35,0,1,0,23,1,8,30,0.0,0,0,562,0,0,136,0,0,0,2.3,8105,16.0,0,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,90,0,0,3,0,0,0,0,4,0,14,0,12381,0,0,1,0,2,7.0,6,5178,5561,383,49,True,0,0
0,19,0,0,0,10,0,11,17,0.2,0,0,562,0,0,141,0,3,0,2.2,8710,13.6,0,2016-12-10T15:00:00Z,10 Dec 15:00,0,0,90,0,0,1,0,0,0,0,2,0,15,0,12824,0,0,1,1,3,8.0,1,-137,1731,1868,49,False,0,0
0,7,0,0,0,22,1,10,6,0.0,0,0,562,0,0,159,1,0,0,1.5,9320,14.6,0,2016-12-14T20:00:00Z,14 Dec 20:00,0,0,90,0,0,13,0,0,0,0,0,0,16,0,15217,0,0,0,0,0,0.0,6,1876,2433,557,49,True,0,0
0,58,0,0,0,16,0,9,51,1.4,0,0,562,0,0,166,2,2,0,2.5,9934,23.2,0,2016-12-17T15:00:00Z,17 Dec 15:00,0,0,90,0,0,8,0,0,0,0,7,0,17,0,18959,0,1,0,2,2,0.0,1,3353,3923,570,49,True,0,0
0,23,0,0,0,12,0,8,21,0.3,0,0,562,0,0,176,0,4,0,2.2,10550,22.0,0,2016-12-27T17:15:00Z,27 Dec 17:15,0,0,90,0,0,9,0,0,0,0,2,0,18,0,19726,0,1,0,1,4,0.0,0,89,2267,2178,49,False,0,0
0,26,0,0,0,24,0,6,25,1.1,0,0,562,0,0,183,0,4,1,6.7,11168,48.6,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,90,0,0,4,0,0,0,0,4,0,19,0,18274,0,1,0,2,4,17.0,6,-1565,246,1811,49,False,0,0
0,42,0,0,0,28,1,7,39,0.4,0,0,562,0,0,196,0,0,0,1.8,11790,17.2,0,2017-01-03T20:00:00Z,03 Jan 20:00,0,0,90,0,0,18,0,0,0,0,7,0,20,0,24134,1,0,0,0,2,0.0,6,5502,6832,1330,49,True,0,0
0,28,0,0,0,12,0,10,23,0.1,0,0,562,0,0,206,2,1,0,2.0,12414,19.6,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,90,0,0,15,0,0,0,0,3,0,21,0,27169,0,1,0,3,1,0.0,2,2327,5214,2887,49,False,0,0
0,25,0,0,0,12,0,14,20,0.2,0,0,562,0,0,219,1,1,0,3.1,13045,31.2,0,2017-01-21T15:00:00Z,21 Jan 15:00,0,0,90,0,0,11,0,0,0,0,2,0,22,0,26718,0,0,0,1,1,0.0,2,-738,1975,2713,49,True,0,0
0,34,0,0,0,14,0,4,29,0.7,0,0,562,0,0,230,1,1,0,1.7,13679,16.6,0,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,90,0,0,6,0,0,0,0,3,0,23,0,28331,0,1,0,1,1,0.0,2,1140,2818,1678,49,True,0,0
0,32,0,0,0,14,0,8,31,1.3,0,0,562,0,0,240,2,1,0,1.8,14322,16.4,0,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,90,0,0,19,0,0,0,0,4,0,24,0,28088,0,1,0,0,1,0.0,1,-364,852,1216,49,False,0,1
0,43,0,0,3,36,1,12,38,0.6,0,0,562,0,0,247,0,0,0,5.0,14971,29.4,0,2017-02-11T15:00:00Z,11 Feb 15:00,0,0,90,0,0,5,0,0,0,0,6,0,25,0,28990,0,3,0,0,1,20.0,9,642,2158,1516,49,True,0,0
0,25,0,0,0,12,0,8,20,0.0,0,0,562,0,0,258,0,4,0,3.8,15510,19.2,0,2017-02-26T13:30:00Z,26 Feb 13:30,0,0,90,0,0,17,0,0,0,0,2,0,26,0,30910,0,1,0,0,4,19.0,0,1431,2458,1027,49,False,0,0
0,29,0,0,0,22,1,3,28,0.3,1,0,562,0,0,264,1,0,0,1.0,16203,4.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,86,0,0,12,0,0,0,0,6,0,27,0,32993,0,1,1,0,2,6.0,6,1888,3222,1334,49,True,0,0
